NAME,URL,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,POWER,COMBAT,FULL_NAME,ALTER_EGOS,ALIASES,PLACE_OF_BIRTH,FIRST_APPEARANCE,CREATOR,ALIGNMENT,GENDER,RACE,HEIGHT,WEIGHT,EYE_COLOR,HAIR_COLOR,OCCUPATION,BASE,TEAM_AFFILIATION,RELATIVES,SKIN_COLOR,TOTAL_POWER
Galactus,/galactus/10-862/,100,100,85,100,100,50,Galan,"Galactus (Starving), Galactus (Well Fed), Galactus Venom, Lifebringer Galactus","Maker, Devourer of Worlds, Eater-of-Worlds, Ravager of Worlds",(Galan) Taa; (Galactus) the Cosmic Egg,Fantastic Four #48 (March 1966),Marvel Comics,neutral,Male,Cosmic Entity,28'9 : 876 cm,36400 lb : 16 tons,Black,Black,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",Worldship (aka Taa II); though he is generally mobile throughout the universe via his spherical starship in search of suitable planets to consume.,"Heralds of Galactus (Leader), Elders of the Universe","Galan (""father""), Galacta (daughter)",,535
Gambit,/gambit/10-64/,85,10,25,30,55,85,Remy Etienne LeBeau,Gambit (FOX),"Death, Le Diable Blanc, formerly Robert Lord, Cajun","New Orleans, Louisiana","(as Gambit) Uncanny X-Men #266 (1990), (as Death) X-Men #184 (2006)",Marvel Comics,good,Male,Mutant,6'1 : 185 cm,179 lb : 81 kg,Red,Brown,"Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois","(current) Xavier Institute, Salem Center, Westchester County, New York; (former) New Orleans, Louisiana; Paris, France; Cairo, Illinois;","X-Men, Unified Thieves and Assassins Guild of New Orleans, Cerebro's X-Men, Four Horsemen of Apocalypse, Ultimate X-Men, Formerly: Apocalypse's Horsemen, Marauders","Jean-Luc LeBeau (father), Belladonna (aka Bella Donna Boudreaux) (wife, separated)",,290
Gamora,/gamora/10-65/,90,85,45,85,55,100,Gamora Zen Whoberi Ben Titan,No alter egos found.,"The Deadliest Woman In The Universe, The Most Dangerous Woman in the Galaxy","Planet Zen Whoberi, Silican System, Milky Way","Strange Tales #180 (June, 1975)",Marvel Comics,good,Female,Zen-Whoberian,6'0 : 183 cm,170 lb : 77 kg,Yellow,Black,"Assassin, mercenary, adventurer","C.I.T.T.; formerly Godthab Omega, Monster Island, Sanctuary II and the pocket-dimension within the Soul Gem; Earth-7528","Guardians of the Galaxy, Marvel Knights","Thanos (foster father), Thane (foster brother), Unnamed former Symbiote",Green,460
Garbage Man,/garbage-man/10-1467/,80,90,65,90,90,85,Richard Ethan Morse,No alter egos found.,Richard Morse,-,Weird Worlds #1 (2011),DC Comics,good,Male,Mutant,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,500
Gary Bell,/gary-bell/10-1526/,85,5,10,10,55,10,Gary Bell,No alter egos found.,-,-,-,SyFy,good,Male,Alpha,- : 0 cm,- lb : 0 kg,-,-,-,-,Alphas,-,,175
General Zod,/general-zod/10-837/,100,100,100,100,100,95,Dru-Zod,General Zod (DCEU),Dru-Zod (possible first name),Krypton,Action Comics #845,DC Comics,bad,Male,Kryptonian,- : 0 cm,- lb : 0 kg,Black,Black,-,Formerly Krypton; formerly the Phantom Zone; currently Earth,Formerly: Superman Revenge Squad,Ursa (mate/wife); Lor-Zod (son); Admiral Zod (possible ancestor),,595
Genesis,/genesis/10-1055/,80,75,75,70,80,65,Tyler Dayspring,No alter egos found.,Tolliver,-,"As Tolliver, mentioned) New Mutants #98 (1991), (as Tolliver, seen) X-Force #5 (1991), (as Genesis) Cable #18 (1994)",Marvel Comics,good,Male,-,6'1 : 185 cm,191 lb : 86 kg,Blue,Blond,"Former would-be world conqueror, arms dealer, soldier, freedom fighter",-,No team connections added yet.,"Nathan Christopher Summers (Cable, adopted father), Aliya Jenskot (mother, deceased), Stryfe (cloned uncle, deceased), Rachel Summers (Marvel Girl, alternate timeline aunt), Scott Summers (Cyclops, grandfather), Madelyne Pryor-Summers (grandmother, deceased), Alexander Summers (Havok, great-uncle), Gabriel Summers (Vulcan, great-uncle), Christopher Summers (Corsair, great-grandfather), Katherine Anne Summers (great-grandmother, deceased), Philip Summers (great-great-grandfather), Deborah Summers (great-great-grandmother)",,445
Ghost Rider,/ghost-rider/10-67/,80,55,25,100,100,60,Jonathan Blaze,"Ghost Rider (MCU), Ghost Rider (SONY)",-,"Waukegan, Illinois","Marvel Spotlight #5 (August, 1972)",Marvel Comics,good,Male,Demon,6'2 : 188 cm,220 lb : 99 kg,Red,No Hair,Former stunt motorcyclist,"Mobile, Quentin Carnival","Marvel Knights, Midnight Sons, Champions, Champions of Los Angeles, Formerly: Thunderbolts","Barton (father, deceased), Clara (mother, deceased), Craig ""Crash"" Simpson (stepfather, deceased), Mona Simpson (stepmother, deceased), Roxanne Simpson (wife)",,420
Ghost Rider II,/ghost-rider-ii/10-68/,70,85,95,85,85,90,Daniel Ketch,No alter egos found.,-,-,Ghost Rider Vol. 2 #1,Marvel Comics,good,-,-,- : 0 cm,- lb : 0 kg,-,-,-,-,"Secret Defenders, Formerly: Midnight Sons","Barbara Ketch (sister, deceased) Ghost Rider (Johnny Blaze) (brother), Jennifer Kale (distant cousin)  Noble Kale and Naomi Kale (ancestors)",,510
Giant-Man,/giant-man/10-858/,95,85,40,65,55,45,Henry Jonathan Pym,"Ant-Man, Ant-Man (MCU), Goliath, Ultron, Wasp II, Yellowjacket",-,-,-,Marvel Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,The Ultimates,-,,385
Giant-Man II,/giant-man-ii/10-343/,,,,,,,-,No alter egos found.,-,-,-,Marvel Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Giganta,/giganta/10-1376/,95,90,25,85,35,45,Doris Zuel,No alter egos found.,-,-,Wonder Woman (Volume 1) #9 (1944),DC Comics,bad,Female,-,205 : 62.5 meters,1400 lb : 630 kg,Green,Red,"Criminal, former Scientist, Professor at Ivy University",Ivy Town,"Formerly: The Society, Secret Six",-,,375
Gladiator,/gladiator/10-1521/,80,100,100,100,80,70,Kallark,No alter egos found.,"Majestor, Praetor, Captain Universe",-,"X-Men Vol 1 #107 October, 1977",Marvel Comics,neutral,Male,Strontian,6'6 : 198 cm,595 lb : 268 kg,Blue,Blue,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,"Chandilar, Shi'ar Galaxy; mobile throughout the Shi'ar Empire and surrounding galaxies.","Imperial Guard, Gods, Annihilators","Kubark (Kid Gladiator) (son), Xenith (The Strontian) (cousin)",Purple,530
Goblin Queen,/goblin-queen/10-1054/,90,10,25,30,65,60,Madelyne Jennifer Pryor,No alter egos found.,"Anodyne, Maddie, Lyne, Red, Madelyne Pryor-Summers","Created in Sinister's Labs, Nebraska",Uncanny X-Men #168,Marvel Comics,bad,Female,-,5'6 : 168 cm,110 lb : 50 kg,Green,Red,-,"Mobile; formerly Anchorage, Alaska; Reaver Base, Australian Outback, Australia; Empire State Building, New York, New York",No team connections added yet.,"Mister Sinister (creator), Jean Grey (Phoenix, genetic template), Scott Summers (Cyclops, husband), Nathan Christopher Summers (Cable, son), Christopher Summers (Corsair, father-in-law), Alex Summers (Havok, brother-in-law)",,280
Godzilla,/godzilla/10-10590/,75,100,55,100,100,20,-,"Godzilla (1954), Godzilla (Godzillasaurus), Godzilla Earth, Shin Godzilla","Legendary Godzilla, King of the Monsters, Gigantis, Monster Zero-One, God of Destruction, Alpha Predator",-,Godzilla (1954),,bad,-,Kaiju,354'4 : 108.0 meters,"200000000 lb : 90,000 tons",-,-,-,-,New Justice Team (Leader),-,Grey,450
Gog,/gog/10-693/,80,35,50,75,40,60,-,No alter egos found.,"Nephut-Sha, Hassan Kareem",-,Incredible Hulk #257 (1981),DC Comics,bad,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,"Seth (creator), Magog (""brother"")",,340
Goku,/goku/10-1284/,80,100,75,90,100,100,Kakarot,"Kid Goku, Mastered Ultra Instinct Goku","Ultimate Defender, Sayain Monkey, Super Sayain, Z-Fighter, Son-Goku, Lower-Class Sayain, Goku Son",-,Dragon Ball #1,Shueisha,good,Male,Saiyan,5'9 : 175 cm,137 lb : 62 kg,-,-,-,-,"Z-Fighters (Leader), Z-Fighters",-,,545
Goliath,/goliath/10-845/,,,,,,,-,"Atlas, Power Man, Smuggler",-,-,-,Marvel Comics,good,Male,-,- : 0 cm,- lb : 0 kg,-,-,-,-,"Thunderbolts, Wrecking Crew",-,,0
Goliath,/goliath/10-846/,,,,,,,Henry Jonathan Pym,"Ant-Man, Ant-Man (MCU), Giant-Man, Ultron, Wasp II, Yellowjacket",Hank Pym,-,-,Marvel Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Goliath,/goliath/10-847/,,,,,,,Clinton Francis Barton,"Hawkeye, Hawkeye (MCU), Ronin",-,-,-,Marvel Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,-,-,-,-,No team connections added yet.,-,,0
Goliath IV,/goliath-iv/10-879/,,,,,,,William Barrett Foster,No alter egos found.,"Giant-Man, Black Goliath","Watts, Los Angeles, California","(As Foster) Avengers #32 (1966); (as Black Goliath) Luke Cage, Power Man #24 (1975); (as Giant-Man) Marvel Two-in-One #55 (1979); (as Goliath) Thing #1 (2006)",Marvel Comics,good,Male,-,6' : 183 cm,200 lb : 90 kg,Brown,Black,"Biochemist, inventor, research scientist, adventurer; (formerly) circus performer, soldier",-,Formerly: The Ultimates,Claire Temple (ex-wife),,0
Gorilla Grodd,/gorilla-grodd/10-694/,95,55,35,70,100,65,Grodd,No alter egos found.,"William Dawson, King Grodd, Gorilla Grodd, Grodd-Son",-,"Flash #106 (May, 1959)",DC Comics,bad,Male,Gorilla,6'6 : 198 cm,600 lb : 270 kg,Yellow,Black,-,"Gorilla City, Africa","Rogues, The Society, Minutemen","Boka (wife, separated), Gorbzil Mammit (son), Sam Simeon (grandson)",,420
Granny Goodness,/granny-goodness/10-1344/,100,100,90,100,95,100,-,No alter egos found.,Athena,Apokolips,-,DC Comics,bad,Female,-,5'10 : 178 cm,256 lb : 115 kg,Blue,White,-,-,New Gods of Apokolips,-,,585
Gravity,/gravity/10-74/,80,35,35,40,70,30,Greg Willis,No alter egos found.,Protector of the Universe,"Sheboygan, Wisconsin","Gravity #1 (August, 2005)",Marvel Comics,good,Male,Human,5'10 : 178 cm,175 lb : 79 kg,Blue,Brown,Student,New York City,No team connections added yet.,"Richard Willis (father), Mary Willis (mother)",,290
Greedo,/greedo/10-10468/,75,10,15,15,35,40,-,No alter egos found.,-,Rodia,-,George Lucas,bad,Male,Rodian,5'7 : 170 cm,- lb : 0 kg,Purple,-,Bounty Hunter,-,Trade Federation,-,Green,190
Green Arrow,/green-arrow/10-696/,95,15,35,30,40,90,Oliver Jonas Queen,Arrow (CW),"The Emerald Archer, Battling Bowman",-,More Fun Comics #73 (November 1941),DC Comics,good,Male,Human,6'2 : 188 cm,195 lb : 88 kg,Green,Blond,Professional Crime-fighter; Multi-Billionaire,"Star City, California; Formerly Seattle, Washington","Justice Legion Alpha (Leader), All-Star Squadron, Formerly: Black Lantern Corps, Justice League","Conner Hawke (son); Robert (son); Cissie King (possible daughter); Roy Harper - Red Arrow (adoptive son); Dinah Laurel Lance (wife); Dinah Drake Lance (mother-in-law, deceased); Larry Lance (father-in-law, deceased)",,305
Green Goblin,/green-goblin/10-579/,100,50,40,60,50,50,Norman Virgil Osborn,"Goblin (Ultimate), Goblin Noir, Green Goblin (SONY), Iron Patriot","Normie, Green Goblin, Goblin Lord, Overlord, the Goblin, ""Gobby"", Scrier, Commander Osborn, Director Osborn, Iron Patriot","Hartford, Connecticut","Amazing Spider-Man #14 (July, 1964)",Marvel Comics,bad,Male,Human,5'11 : 180 cm,185 lb : 83 kg,Blue,Auburn,"Professional criminal, owner and president of Osborn Industries","H.A.M.M.E.R. base; formerly Avengers Tower, New York City, New York","Dark Avengers (Leader), Dark X-Men (Leader), Formerly: Thunderbolts, Sinister Six","Alton Osborn, Sr. (paternal great-grandfather, deceased);Alton Osborn, Jr. (paternal grandfather, deceased);Amberson Osborn (father, deceased);Emily Osborn (wife, deceased);Gabriel Stacy (son);Sarah Stacy (daughter);Harry Osborn (Green Goblin II, son);Liz Allan (ex-daughter-in-law);Normie Osborn (grandson);Stanley Osborn (grandson);",,350
Green Goblin II,/green-goblin-ii/10-25/,90,55,40,50,45,30,Harold Osborn,Harry Osborn (SONY),-,New York City,Amzing Spide-Man #31,Marvel Comics,bad,Male,-,5'10 : 178 cm,170 lb : 77 kg,Blue,Auburn,-,Formerly New York City,Dark Avengers,"Liz Allen-Osborn (Wife,) Norman III (son,)Norman Osborn II - Green Goblin (father)",,310
Green Goblin III,/green-goblin-iii/10-351/,,,,,,,Barton Hamilton,No alter egos found.,-,-,As Dr. Barton Hamilton in Amazing Spider-Man #167 as Green Goblin III in Amazing Spider-Man #176,Marvel Comics,good,Male,-,6' : 183 cm,195 lb : 88 kg,-,-,Psychiatrist,-,No team connections added yet.,-,,0
Green Goblin IV,/green-goblin-iv/10-75/,90,90,85,80,65,75,Phillip Benjamin Urich,No alter egos found.,-,-,(As Urich) Web of Spider-Man #125 (1995); (as Green Goblin) Green Goblin #1 (1995),Marvel Comics,good,Male,-,5'10 : 178 cm,175 lb : 79 kg,Green,Brown,"College student, former vigilante, intern at Daily Bugle",-,No team connections added yet.,"Arnold Urich (father), Mindy Urich (mother), Kenneth Urich (brother), Ben Urich (uncle), Doris Urich (aunt)",,485
Green Lantern,/green-lantern/10-697/,85,90,75,80,100,70,Harold Jordan,"Green Lantern (2011), Green Lantern (New 52), Green/Blue Lantern, Parallax, Red Lantern, Spectre, White Lantern, Yellow Lantern","Parallax, Spectre, Green Lantern","Coast City, California",Showcase #22,DC Comics,good,Male,Human,6'2 : 188 cm,200 lb : 90 kg,Brown,Brown,"Adventurer, Air Force Test Pilot",-,"Green Lantern Corps, Justice League Elite, Superfriends, Justice League, Time Masters, Formerly: Justice League of America, Black Lantern Corps, Justice League Europe, Blue Lantern Corps","Martin H. ""Marty"" Jordan (father, deceased), Jessica Jordan (mother, deceased), Jim Jordan (younger brother), Jack Jordan (older brother, deceased), Jan Jordan (sister-in-law, deceased), Helen Jordan (neice), Larry Jordan (Air Wave I - cousin, deceased), Hal Jordan (Air Wave II - cousin)",,500
Green Lantern,/green-lantern/10-698/,85,80,25,90,100,35,Alan Ladd Wellington Scott,No alter egos found.,"Green Lantern, White King, Sentinal",Gotham City,All-American Comics 16 (1940),DC Comics,good,Male,-,5'11 : 180 cm,201 lb : 90 kg,Blue,Blond,-,Gotham City and New York City; Formerly Capitol City,"All-Star Squadron, Formerly: Green Lantern Corps","Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",,415
Green Lantern,/green-lantern/10-700/,75,90,55,65,100,65,Guy Darrin Gardner,Red Lantern,"Green Lantern, Red Lantern, Warrior","Baltimore, Maryland",Green Lantern Vol 2 #59,DC Comics,good,Male,Human-Vuldarian,6'2 : 188 cm,210 lb : 95 kg,Blue,Red,Former High School gym teacher; former bar owner; currently Honor guard of the Green Lantern Corps,Formerly New York City; currently Oa,"Green Lantern Corps, Formerly: Red Lantern Corps, Justice League of America, Justice League, Blue Lantern Corps",-,,450
Green Lantern,/green-lantern/10-873/,80,85,45,65,100,65,John Stewart,No alter egos found.,Green Lantern,-,Green Lantern Vol 2 #87,DC Comics,good,Male,Human,6'1 : 185 cm,201 lb : 90 kg,Green,Black,Architect,"Detroit, Michigan · Oa · formerly New York City","Green Lantern Corps, Formerly: Justice League of America","Roy Stewart (grandfather, deceased), Addie Stewart (grandmother, deceased), Loretta Stewart (aunt, deceased), Katma Tui (wife, deceased)",,440
Green Lantern,/green-lantern/10-1409/,85,90,50,60,100,60,-,"Blue Lantern, Ion, Parallax, White Lantern","Ion, Kyle Vasquez, Parallax, Torch Bearer, Honor Guard, The Last Green Lantern","North Hollywood, Los Angeles, California",Green Lantern Vol 3 #48,DC Comics,good,Male,Human,5'11 : 180 cm,175 lb : 79 kg,Green,Black,"Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, Formerly: Blue Lantern Corps, Titans, Sinestro Corps, Challengers From Beyond","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)",,445
Green Lantern,/green-lantern/10-10649/,80,90,45,55,100,60,-,No alter egos found.,"Green Lantern, White Lantern","Dearborn, Michigan","The New 52: FCBD Special Edition #1 (June, 2012)",DC Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,Bown,Black,-,-,"Green Lantern Corps, Formerly: Justice League of America, White Lantern Corps","Sira Baz (sister), Farid Amar (nephew), Nazir Amar (brother in-law)",,430
Green Lantern,/green-lantern/10-10650/,80,90,50,50,100,55,Jessica Viviana Cruz,No alter egos found.,"Green Lantern, Power Ring",-,"Green Lantern Vol 5 #20 (July, 2013)",DC Comics,good,Female,Human,- : 0 cm,- lb : 0 kg,Green,Brown,-,-,Green Lantern Corps,Sara Cruz (sister),,425
Groot,/groot/10-10017/,90,85,35,70,100,65,Groot,"Groot (MCU), Teenage Groot","The Monster from Planet X; His Divine Majesty King Groot the 23rd, Monarch of Planet X, custodian of the branch worlds, ruler of all the shades, Flora colossus Information-silk",-,"Tales to Astonish #13 (November, 1960)",Marvel Comics,good,Male,Flora Colossus,23'0 : 701 cm,8200 lb : 4 tons,Yellow,-,-,Area 13 (the Howling Commandos' base),"Guardians of the Galaxy, Marvel Knights",-,,445
Guardian,/guardian/10-76/,90,65,65,75,80,75,Dr. James McDonald Hudson,No alter egos found.,"Weapon Alpha, Antiguard, Vindicator, Mac, Jimmy","London, Ontario, Canada",X-Men Vol.1  #109 (as Weapon Alpha),Marvel Comics,good,Male,Human,- : 0 cm,- lb : 0 kg,Brown,Black,"Engineer, government agent, adventurer","Ottawa, Canada","Alpha Flight (Leader), Beta Flight","Vindicator II (Heather Hudson), wife",,450
Han Solo,/han-solo/10-10456/,80,10,20,20,45,60,Han Solo,No alter egos found.,-,Corellia,Star Wars: Episode IV - A New Hope (1977),George Lucas,good,Male,Human,6'0 : 183 cm,176 lb : 79 kg,Brown,Brown,-,-,"Galactic Republic, Rebel Alliance, Resistance",-,,235
Hancock,/hancock/10-1109/,85,90,70,100,100,50,John Hancock,No alter egos found.,-,-,-,Sony Pictures,good,Male,Human,6'2 : 188 cm,- lb : 0 kg,Brown,Black,-,-,No team connections added yet.,-,,495
Harley Quinn,/harley-quinn/10-701/,95,15,35,65,55,80,Harleen Francis Quinzel,No alter egos found.,"Harleen Quinzel, Harl, Cupid of Crime, Jane Wisakedjak, Elise Archer, Pumpkin Pooh",-,"Batman: Harley Quinn (October, 1999)",DC Comics,bad,Female,Human,5'7 : 170 cm,140 lb : 63 kg,Blue,Blond,Psychiatrist,Gotham City,"Suicide Squad, Super Buddies, Formerly: Quintets, Secret Six","Barry Quinzel (brother), Sharon Quinzel (mother), Nick Quinzel (father), Jenny Quinzel (niece), Nicky Quinzel (nephew)",,345
Harry Potter,/harry-potter/10-10878/,90,10,25,10,100,50,-,No alter egos found.,"Triwizard Champion, Seeker, Quidditch Captain, Leader of Dumbledore's Army, Master of Death",-,Harry Potter and the Philosopher's Stone,J. K. Rowling,good,Male,Human,- : 0 cm,- lb : 0 kg,Green,Black,Head of the Department of Magical Law Enforcement[,-,Gryffindor,-,,285
Havok,/havok/10-77/,85,10,25,60,75,45,Alexander Summers,Havok (FOX),"Mutant X, Goblin Prince","Honolulu, Hawaii",X-MEN #58,Marvel Comics,good,Male,Mutant,6' : 183 cm,175 lb : 79 kg,Blue,Blond,"Currently Adventurer, formerly Graduate student in geophysics","Alexandria, Virginia","Cerebro's X-Men, X-Factor, Formerly: Avengers, X-Men","Oscar Summers (adoptive paternal distant ancestor, deceased), Daniel Summers (paternal distant ancestor, deceased), Amanda Mueller (Black Womb) (paternal distant ancestor), unnamed paternal great-grandfather, deceased, Gloria Dayne (Fontanelle) (paternal distant ancestor), Philip Summers (paternal grandfather), Deborah Summers (paternal grandmother), Christopher Summers (Corsair) (father, deceased), Katherine Summers (mother, deceased), Andrew Blanding (adoptive father), Joanna Blanding (adoptive mother), Scott Summers (Cyclops) (brother), Gabriel Summers (Vulcan) (brother, deceased), Ahmet Abdol (Living Monolith) (""brother"" via X-Gene transfer), Haley Blanding (adoptive sister), Todd Blanding (adoptive brother, deceased), Madelyne Pryor-Summers (Red Queen) (sister-in-law/clone of second sister-in-law, deceased), Jean Grey-Summers (Phoenix) (sister-in-law, deceased), Cal'syee Neramani (Deathbird) (sister-in-law), Nathan Summers (Cable) (nephew), Adam Neramani (X-Treme) (nephew, alleged half-brother), Aliya Dayspring (Jenskot) (niece, deceased), Hope Summers (niece, deceased), Madelyne Pryor (Earth-1298) (Marvel Woman) (alternate reality wife), Scott Summers (Earth-1298) (alternate reality son), Rachel Grey (Marvel Girl) (alternate reality niece), Rachel Summers (Mother Askani) (alternate reality niece, deceased), Nathaniel Grey (X-Man) (alternate reality nephew), Stryfe (nephew's clone, deceased), Tyler Dayspring (Genesis) (great-nephew, deceased), Hope Summers (adoptive great-niece), Janet van Dyne (Wasp) (wife), Katie Summers (daughter)",,300
